                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.398,                 3.0847,                 1.3138,                0.68693,                0.53894,                0.54939,                0.35977,                 1.2905,                 1.9885,                 1.2105,             0.00016645,             0.00016645,             0.00016645
                      2,                 1.3113,                 1.8266,                 1.2578,                 0.6906,                0.56591,                0.62483,                0.40622,                 1.3353,                 1.3307,                 1.2479,             0.00032652,             0.00032652,             0.00032652
                      3,                 1.3073,                 1.4501,                 1.2514,                0.71039,                0.67059,                0.72706,                0.44871,                 1.3289,                 1.1103,                 1.2395,             0.00047999,             0.00047999,             0.00047999
                      4,                 1.2924,                 1.2769,                 1.2456,                0.74896,                0.61851,                0.69617,                0.45951,                  1.268,                 1.0835,                 1.2114,              0.0004703,              0.0004703,              0.0004703
                      5,                 1.2619,                 1.1568,                 1.2358,                 0.6459,                0.72413,                0.74247,                0.49788,                 1.2354,                0.97051,                 1.1998,              0.0004703,              0.0004703,              0.0004703
                      6,                 1.2548,                 1.0801,                 1.2356,                0.71381,                0.71137,                0.77477,                0.51765,                 1.2352,                0.89015,                 1.1865,              0.0004604,              0.0004604,              0.0004604
                      7,                 1.2374,                 1.0241,                 1.2242,                0.81191,                0.74494,                0.80135,                0.54242,                 1.2595,                0.86186,                 1.1968,              0.0004505,              0.0004505,              0.0004505
                      8,                 1.2326,                0.99716,                 1.2219,                0.86846,                 0.7542,                0.81331,                0.56328,                 1.2287,                0.84012,                  1.192,              0.0004406,              0.0004406,              0.0004406
                      9,                  1.209,                0.93432,                 1.2105,                0.87415,                0.73193,                0.81543,                0.55095,                  1.235,                0.82315,                 1.1933,              0.0004307,              0.0004307,              0.0004307
                     10,                 1.2011,                0.90569,                 1.2078,                0.89084,                0.73669,                0.82596,                0.57119,                 1.2099,                0.79271,                   1.18,              0.0004208,              0.0004208,              0.0004208
                     11,                 1.1998,                0.88529,                 1.2053,                0.87717,                 0.7751,                0.84778,                 0.5852,                 1.2018,                0.73518,                  1.161,              0.0004109,              0.0004109,              0.0004109
                     12,                 1.1848,                0.85907,                 1.1956,                0.91111,                 0.7423,                0.83993,                0.58659,                 1.1956,                0.73777,                  1.175,               0.000401,               0.000401,               0.000401
                     13,                 1.1801,                0.84353,                  1.197,                0.88992,                0.76001,                0.84106,                0.58783,                 1.1963,                0.71132,                 1.1712,              0.0003911,              0.0003911,              0.0003911
                     14,                 1.1694,                0.82234,                 1.1919,                0.91294,                0.78211,                 0.8471,                0.59202,                 1.1759,                 0.6941,                 1.1602,              0.0003812,              0.0003812,              0.0003812
                     15,                 1.1615,                0.79538,                 1.1854,                0.89704,                 0.8031,                0.85334,                0.60033,                 1.1794,                0.67094,                 1.1521,              0.0003713,              0.0003713,              0.0003713
                     16,                 1.1581,                0.78374,                 1.1836,                0.91097,                0.78888,                  0.853,                0.59622,                 1.1727,                0.66182,                   1.16,              0.0003614,              0.0003614,              0.0003614
                     17,                 1.1525,                0.77102,                 1.1837,                0.90178,                 0.7633,                 0.8285,                0.59006,                 1.1746,                0.64762,                 1.1547,              0.0003515,              0.0003515,              0.0003515
                     18,                 1.1458,                0.75547,                 1.1775,                0.89487,                0.82037,                0.86135,                0.60561,                 1.1593,                0.64527,                 1.1448,              0.0003416,              0.0003416,              0.0003416
                     19,                 1.1366,                0.74973,                 1.1712,                 0.8978,                0.80246,                0.85684,                0.59895,                 1.1612,                0.67071,                 1.1544,              0.0003317,              0.0003317,              0.0003317
                     20,                 1.1287,                0.73421,                 1.1722,                0.91941,                0.81021,                0.86634,                 0.5811,                 1.1552,                0.63605,                 1.1434,              0.0003218,              0.0003218,              0.0003218
                     21,                 1.1256,                0.72755,                 1.1672,                0.91115,                0.81488,                0.86588,                0.58378,                 1.1493,                 0.6161,                 1.1444,              0.0003119,              0.0003119,              0.0003119
                     22,                 1.1273,                0.72254,                  1.173,                0.91145,                0.82449,                0.86667,                0.60678,                 1.1629,                0.63928,                 1.1589,               0.000302,               0.000302,               0.000302
                     23,                 1.1185,                0.70212,                 1.1675,                0.90093,                0.80157,                0.86733,                0.60709,                 1.1669,                0.60321,                 1.1567,              0.0002921,              0.0002921,              0.0002921
                     24,                 1.1128,                0.69511,                 1.1623,                0.90846,                 0.8105,                0.85833,                 0.6049,                  1.161,                0.62153,                 1.1519,              0.0002822,              0.0002822,              0.0002822
                     25,                 1.1119,                0.69135,                 1.1624,                0.92407,                 0.8221,                0.86716,                0.60837,                 1.1636,                0.59546,                 1.1478,              0.0002723,              0.0002723,              0.0002723
                     26,                 1.1035,                 0.6725,                 1.1578,                 0.9188,                 0.8157,                0.86527,                0.60644,                 1.1596,                0.61054,                 1.1488,              0.0002624,              0.0002624,              0.0002624
                     27,                 1.1044,                 0.6649,                  1.159,                0.91115,                 0.8293,                0.87057,                0.61564,                 1.1553,                0.57979,                 1.1449,              0.0002525,              0.0002525,              0.0002525
                     28,                 1.0936,                0.65445,                 1.1467,                0.90703,                0.82279,                 0.8668,                0.61135,                  1.148,                0.59326,                 1.1379,              0.0002426,              0.0002426,              0.0002426
                     29,                  1.089,                0.65213,                 1.1511,                0.91628,                0.82244,                0.86979,                0.62095,                 1.1378,                0.57875,                 1.1381,              0.0002327,              0.0002327,              0.0002327
                     30,                  1.083,                0.64887,                 1.1477,                0.92918,                0.82334,                0.86974,                0.62916,                 1.1433,                0.56449,                 1.1399,              0.0002228,              0.0002228,              0.0002228
                     31,                  1.089,                0.63743,                 1.1485,                0.91423,                0.81902,                0.87131,                0.62092,                 1.1392,                0.56331,                  1.138,              0.0002129,              0.0002129,              0.0002129
                     32,                 1.0814,                0.63222,                  1.147,                0.92772,                0.81927,                0.87032,                0.61283,                 1.1433,                0.57464,                 1.1426,               0.000203,               0.000203,               0.000203
                     33,                 1.0732,                0.62682,                 1.1421,                0.92656,                0.83016,                0.87416,                0.62574,                 1.1384,                0.55594,                 1.1367,              0.0001931,              0.0001931,              0.0001931
                     34,                 1.0666,                0.62073,                 1.1381,                0.93101,                0.81524,                0.87109,                0.62179,                 1.1539,                0.57824,                 1.1398,              0.0001832,              0.0001832,              0.0001832
                     35,                 1.0703,                0.61157,                 1.1364,                0.91758,                0.82219,                 0.8731,                0.62019,                 1.1446,                0.56604,                 1.1403,              0.0001733,              0.0001733,              0.0001733
                     36,                 1.0562,                0.60349,                 1.1299,                0.90999,                0.83913,                0.88217,                0.63118,                 1.1342,                0.55077,                 1.1346,              0.0001634,              0.0001634,              0.0001634
                     37,                 1.0527,                0.60041,                 1.1315,                0.92047,                0.84472,                0.87575,                0.62487,                 1.1375,                0.55468,                 1.1353,              0.0001535,              0.0001535,              0.0001535
                     38,                 1.0513,                0.58836,                 1.1302,                0.91893,                0.84194,                0.87926,                0.62789,                 1.1359,                0.55417,                 1.1342,              0.0001436,              0.0001436,              0.0001436
                     39,                 1.0392,                0.58625,                  1.126,                0.92624,                0.83286,                0.87075,                0.62233,                 1.1358,                0.55645,                 1.1343,              0.0001337,              0.0001337,              0.0001337
                     40,                 1.0408,                0.57991,                  1.125,                0.91727,                0.83264,                0.88177,                 0.6306,                 1.1398,                0.56002,                 1.1348,              0.0001238,              0.0001238,              0.0001238
                     41,                 1.0608,                0.49548,                 1.1433,                0.91831,                0.83017,                0.87804,                0.62639,                 1.1371,                0.55223,                 1.1349,              0.0001139,              0.0001139,              0.0001139
                     42,                 1.0505,                0.47749,                 1.1383,                0.91785,                0.83417,                 0.8817,                0.63158,                 1.1313,                0.54577,                 1.1312,               0.000104,               0.000104,               0.000104
                     43,                 1.0399,                0.46476,                 1.1274,                 0.9327,                0.83044,                 0.8937,                 0.6287,                 1.1342,                0.54881,                 1.1335,               9.41e-05,               9.41e-05,               9.41e-05
                     44,                 1.0354,                0.46445,                 1.1319,                0.92684,                0.83087,                0.89519,                0.63012,                 1.1372,                0.54436,                 1.1321,               8.42e-05,               8.42e-05,               8.42e-05
                     45,                 1.0273,                0.45431,                 1.1225,                0.93275,                0.82898,                0.87542,                0.63659,                 1.1389,                0.53946,                 1.1333,               7.43e-05,               7.43e-05,               7.43e-05
                     46,                 1.0238,                 0.4545,                 1.1226,                0.92465,                0.83993,                0.87624,                0.63402,                 1.1406,                0.53632,                 1.1344,               6.44e-05,               6.44e-05,               6.44e-05
                     47,                 1.0175,                0.44332,                 1.1198,                0.92248,                0.84701,                0.89384,                0.63934,                 1.1439,                0.54079,                 1.1385,               5.45e-05,               5.45e-05,               5.45e-05
                     48,                 1.0168,                0.44491,                 1.1191,                0.92625,                0.83779,                0.89971,                0.63747,                 1.1452,                0.54474,                 1.1382,               4.46e-05,               4.46e-05,               4.46e-05
                     49,                 1.0039,                0.43493,                 1.1119,                0.92628,                0.83663,                  0.889,                0.63472,                 1.1443,                0.54168,                 1.1367,               3.47e-05,               3.47e-05,               3.47e-05
                     50,                 1.0014,                0.43188,                 1.1125,                 0.9223,                 0.8427,                0.90044,                0.63656,                 1.1421,                0.53842,                  1.137,               2.48e-05,               2.48e-05,               2.48e-05
